"story_id","vocabulary_id","language_code","cefr_level","sentence_id","surface","lemma","translation","part_of_speech","details","canonical_url","license"
"de-auf-dem-weihnachtsmarkt","v1","de","A1","s1","der Weihnachtsmarkt","der Weihnachtsmarkt","Christmas market","phrase","","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","v2","de","A1","s5","der Glühwein","der Glühwein","mulled wine","phrase","","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","v3","de","A1","s2","die Musik","die Musik","music","phrase","","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","v4","de","A1","s6","der Holzstern","der Holzstern","wooden star","phrase","","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","v5","de","A1","s7","der Lebkuchen","der Lebkuchen","gingerbread","phrase","","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","v6","de","A1","s8","die Weihnachtszeit","die Weihnachtszeit","Christmas season","phrase","","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-das-fruehstueck","v1","de","A1","s2","die Küche","die Küche","the kitchen","phrase","","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","CC BY-NC 4.0"
"de-das-fruehstueck","v2","de","A1","s3","das Fenster","das Fenster","the window","phrase","","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","CC BY-NC 4.0"
"de-das-fruehstueck","v3","de","A1","s6","das Brötchen","das Brötchen","the bread roll","phrase","","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","CC BY-NC 4.0"
"de-das-fruehstueck","v4","de","A1","s7","die Bäckerei","die Bäckerei","the bakery","phrase","","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","CC BY-NC 4.0"
"de-das-fruehstueck","v5","de","A1","s8","die Arbeit","die Arbeit","work","phrase","","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","CC BY-NC 4.0"
"de-der-regentag-in-berlin","v1","de","A1","s2","der Regen","der Regen","rain","noun","","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","CC BY-NC 4.0"
"de-der-regentag-in-berlin","v2","de","A1","s3","das Museum","das Museum","museum","noun","","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","CC BY-NC 4.0"
"de-der-regentag-in-berlin","v3","de","A1","s2","der Schirm","der Schirm","umbrella","noun","","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","CC BY-NC 4.0"
"de-der-supermarkt-am-samstag","v1","de","A1","s3","Kassenbon","Kassenbon","receipt","noun","","https://melolingua.com/learn-german/a1-stories/der-supermarkt-am-samstag","CC BY-NC 4.0"
"de-der-supermarkt-am-samstag","v2","de","A1","s4","Stoffbeutel","Stoffbeutel","fabric shopping bag","noun","","https://melolingua.com/learn-german/a1-stories/der-supermarkt-am-samstag","CC BY-NC 4.0"
"de-der-supermarkt-am-samstag","v3","de","A1","s3","Kassiererin","Kassiererin","cashier (female)","noun","","https://melolingua.com/learn-german/a1-stories/der-supermarkt-am-samstag","CC BY-NC 4.0"
"de-der-supermarkt-am-samstag","v4","de","A1","s1","Regalen","Regalen","shelves","noun","","https://melolingua.com/learn-german/a1-stories/der-supermarkt-am-samstag","CC BY-NC 4.0"
"de-der-supermarkt-am-samstag","v5","de","A1","s2","geduldig","geduldig","patiently","vocabulary","","https://melolingua.com/learn-german/a1-stories/der-supermarkt-am-samstag","CC BY-NC 4.0"
"de-ein-besuch-beim-bauern","v1","de","A1","s3","die Kuh","die Kuh","cow","noun","","https://melolingua.com/learn-german/a1-stories/ein-besuch-beim-bauern","CC BY-NC 4.0"
