"story_id","sentence_id","language_code","language_name","locale","cefr_level","canonical_url","text","translation","license"
"de-auf-dem-weihnachtsmarkt","s1","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","Es ist Dezember und Lukas schlendert über den Weihnachtsmarkt.","It's December, and Lukas strolls through the Christmas market.","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","s2","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","Der Markt glitzert im Lichtermeer. Überall erklingt fröhliche Musik.","The market sparkles in a sea of lights. Joyful music echoes everywhere.","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","s3","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","Lukas riecht den Duft von Glühwein und gebrannten Mandeln.","Lukas smells the aroma of mulled wine and roasted almonds.","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","s4","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","„Einen Glühwein, bitte“, sagt er lächelnd zur Verkäuferin.","""One mulled wine, please,"" he says to the saleswoman with a smile.","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","s5","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","Der Glühwein wärmt seine Hände und ist süß. Lukas bummelt von Stand zu Stand.","The mulled wine warms his hands and is sweet. Lukas wanders from stall to stall.","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","s6","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","Er kauft einen Holzstern für seine Mutter und eine Kerze für seine Schwester.","He buys a wooden star for his mother and a candle for his sister.","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","s7","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","Ein Mann spielt Weihnachtslieder auf der Gitarre. Kinder lachen und knabbern an Lebkuchen. Lukas lächelt zufrieden.","A man plays Christmas songs on the guitar. Children laugh and nibble on gingerbread. Lukas smiles contentedly.","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","s8","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","Er liebt die Weihnachtszeit mit all ihren Wundern.","He loves the Christmas season with all its wonders.","CC BY-NC 4.0"
"de-das-fruehstueck","s1","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","Jeden Morgen wacht Anna um sieben Uhr auf.","Every morning, Anna wakes up at seven o'clock.","CC BY-NC 4.0"
"de-das-fruehstueck","s2","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","Sie geht in die Küche und macht Kaffee. Der Kaffee ist heiß und stark.","She heads into the kitchen and brews some coffee. The coffee is steaming hot and robust.","CC BY-NC 4.0"
"de-das-fruehstueck","s3","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","Anna setzt sich an den Tisch und schaut aus dem Fenster. Heute scheint die Sonne.","Anna sits at the table, gazing out the window. Today, the sun is shining brightly.","CC BY-NC 4.0"
"de-das-fruehstueck","s4","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","Sie lächelt und trinkt ihren Kaffee.","She smiles and drinks her coffee.","CC BY-NC 4.0"
"de-das-fruehstueck","s5","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","„Heute wird ein guter Tag“, denkt Anna.","""Today is going to be a good day,"" Anna thinks.","CC BY-NC 4.0"
"de-das-fruehstueck","s6","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","Sie isst ein Brötchen mit Butter und Marmelade.","She eats a bread roll with butter and jam.","CC BY-NC 4.0"
"de-das-fruehstueck","s7","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","Das Brötchen ist frisch von der Bäckerei. Danach duscht sie und zieht sich an.","The roll is fresh from the bakery. Afterwards, she showers and gets dressed.","CC BY-NC 4.0"
"de-das-fruehstueck","s8","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","Um acht Uhr verlässt Anna das Haus und geht zur Arbeit.","At eight, Anna leaves the house and heads to work.","CC BY-NC 4.0"
"de-der-regentag-in-berlin","s1","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","Es regnet den ganzen Tag in Berlin. Emma steht am Fenster ihres Hotels und schaut auf die nassen Straßen.","It rains the whole day in Berlin. Emma stands at the window of her hotel and looks at the wet streets.","CC BY-NC 4.0"
"de-der-regentag-in-berlin","s2","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","Sie hat einen kleinen Regenschirm dabei. Emma springt über große Pfützen auf dem Weg zur U-Bahn.","She has a small umbrella with her. Emma jumps over big puddles on the way to the subway.","CC BY-NC 4.0"
"de-der-regentag-in-berlin","s3","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","Der Regen wird stärker. Emma sucht Schutz und sieht eine alte Tür. „Das Museum für Alltagsgeschichten“, steht auf dem Schild.","The rain gets stronger. Emma looks for shelter and sees an old door. ""The Museum of Everyday Stories,"" says the sign.","CC BY-NC 4.0"
"de-der-regentag-in-berlin","s4","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","Emma geht hinein. Ein freundlicher Mann sitzt an einem kleinen Tisch und lächelt. „Eintritt ist frei“, sagt er.","Emma goes inside. A friendly man sits at a small table and smiles. ""Admission is free,"" he says.","CC BY-NC 4.0"
"de-der-regentag-in-berlin","s5","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","Das Museum ist klein, aber es gibt viele bunte Bilder und alte Sachen. Emma sieht Telefone, Schuhe und Spielzeug von früher.","The museum is small, but there are many colorful pictures and old things. Emma sees telephones, shoes, and toys from the past.","CC BY-NC 4.0"
"de-der-regentag-in-berlin","s6","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","Ein alter Herr zeigt Emma eine Kamera aus dem Jahr 1950. „Die Kamera hat viele Geschichten gesehen“, sagt er.","An old gentleman shows Emma a camera from the year 1950. ""The camera has seen many stories,"" he says.","CC BY-NC 4.0"
"de-der-regentag-in-berlin","s7","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","Emma probiert, durch die Kamera zu schauen. Sie lacht und macht ein Foto von einem alten Teddybär.","Emma tries to look through the camera. She laughs and takes a photo of an old teddy bear.","CC BY-NC 4.0"
"de-der-regentag-in-berlin","s8","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","Draußen regnet es noch immer, aber Emma hat keine Eile. Sie setzt sich auf eine Bank und liest in einem alten Buch.","Outside it is still raining, but Emma is in no hurry. She sits on a bench and reads in an old book.","CC BY-NC 4.0"
"de-der-regentag-in-berlin","s9","de","German","de-DE","A1","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","Am Abend hört der Regen auf. Emma geht zurück zum Hotel und denkt: „Der regnerische Tag war der beste Tag in Berlin!“","In the evening the rain stops. Emma goes back to the hotel and thinks: ""The rainy day was the best day in Berlin!""","CC BY-NC 4.0"
